"decoded_gpp_before_gpc Value of SaleOptOut, SharingOptOut, or TargetedAdvertisingOptOut","decoded_gpp_after_gpc Value of SaleOptOut, SharingOptOut, or TargetedAdvertisingOptOut",Compliance Classification,,
0.0,0.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> Not Applicable,,
0.0,1.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> Opted Out,,
0.0,2.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> Did Not Opt Out,,
0.0,"""None"", ""{}"", or invalid",GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> <Invalid/Missing> GPP String after Opt-out,,
1.0,0.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> <Invalid/Missing> GPP String after Opt-out,,
1.0,1.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> Opted Out,,
1.0,2.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> Did Not Opt Out,,
1.0,"""None"", ""{}"", or invalid",GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> <Invalid/Missing> GPP String after Opt-out,,
2.0,0.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> Did Not Opt Out,,
2.0,1.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> Opted Out,,
2.0,2.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> Did Not Opt Out,,
2.0,"""None"", ""{}"", or invalid",GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> <Invalid/Missing> GPP String after Opt-out,,
"""None"", ""{}"", or invalid",0.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> Not Applicable,,
"""None"", ""{}"", or invalid",1.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> Opted Out,,
"""None"", ""{}"", or invalid",2.0,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> Did Not Opt Out,,
"""None"", ""{}"", or invalid",Invalid,GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> <Invalid/Missing> GPP String after Opt-out,,
Invalid,"""None"" or ""{}""",GPP US/<State>: <SaleOptOut/SharingOptOut/TargetedAdvertisingOptOut> <Invalid/Missing> GPP String after Opt-out,,
"A site can have multiple GPP Classifications (e.g., GPP US: SaleOptOut Opted Out, GPP CA: SharingOptOut Opted Out, and GPP: CT TargetedAdvertisingOptOut Did Not Opt Out)",,,,
"""Invalid"" means a GPP String that cannot be decoded.",,,,
